video_id,channel_id,channel_name,title,published_at,view_count,like_count,comment_count,duration
6SvHMLnICzY,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,Coffee Lam 林芊妤 懷孕 8個月 足本專訪 ｜ 產前檢查 疑 染色體異常 流產 定 抽羊水 ？｜ 備孕 7年 Coffee 二胎 心路歷程 ｜#CoffeeLam #懷孕 #Bowtie,2025-10-16T11:16:13Z,17444,496.0,63.0,4767
etfUu9nc-8s,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,心臟科 專科醫生 張仁宇 教你3招 護心秘訣 ｜心臟病 有咩 先兆 ？｜ 通波仔 vs 搭橋手術 分別 ｜ 紅酒 燕麥 有益 心臟健康 ？｜ 智能手錶 心律不正 警報 可信嗎 ？｜#Bowtie,2025-10-14T11:00:13Z,52601,1672.0,59.0,3870
1LpshrYZBVs,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,公務員 跳point 太寬鬆 ？ 政府工 真係 鐵飯碗 ？｜ 曾俊華 Podcast 精華 ｜ 公立醫院爆煲 香港 人口老化 醫療問題 點解決？｜ 香港經濟 有冇得 翻身 ？｜#曾俊華 #Bowtie,2025-10-09T11:00:01Z,11560,266.0,15.0,1527
zdwBZjxL_TI,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,新手爸媽 必睇！ 母嬰健康院 VS 私家診所 BB 預防針 應該點揀？｜ BB打針 注意事項 打針後 低燒 點處理？｜ 卡介苗 乙型肝炎 肺炎鏈球菌 百日咳 疫苗 接種 時間表｜#疫苗 #Bowtie,2025-10-02T10:30:44Z,285414,74.0,8.0,660
hBqz6z6zql4,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,買 自願醫保 必睇！3招教你慎選 VHIS ｜公司醫療保險 墊底費 病房類型 扣稅 成關鍵！｜突加價1倍 拒賠 claim 唔到錢？｜ 保險公司 加 霸王條款 不接受當拒絕 續保 ？ #Bowtie,2025-09-30T10:30:29Z,30291,480.0,59.0,1288
fPZcewIMqKg,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,Minato TV 大阪Andy哥 酗酒 10年 VS 乙型肝炎 GK 肝臟 有 陰影 邊個 傷肝 啲？｜ 醫生 教你睇 肝功能指數 驗肝報告 ｜ 肝硬化 脂肪肝 能 逆轉 嗎？｜#Bowtie,2025-09-25T11:46:25Z,42087,856.0,61.0,1714
C9DvmfNi5-Y,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,預製菜 、 大陸餐廳 襲港 踢走 香港品牌 ？｜ 逆市擴張 咖啡店 老闆 許孝榮：任何人都可以令我哋執笠  或因 Foodie 帶風向？｜ 香港 餐廳 結業潮 ｜ #Bowtie #Podcast,2025-09-23T07:00:12Z,108071,2439.0,217.0,4135
oqCAU8J5TYE,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,施政報告 2025 推 部門首長責任制 ｜ 曾俊華 拆解 公務員 人工 跳Point 真相 ｜ 公立醫院 爆煲 人口老化 醫療問題 點解決？｜#曾俊華 #施政報告 #公務員 #醫療政策 #Bowtie,2025-09-18T11:35:03Z,139137,3141.0,111.0,2236
LLHA823aZ_8,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,施政報告 2025 前夕｜ 香港經濟 還能 復甦 嗎？ 曾俊華 ： 香港 仍然有 優勢 ｜ 前財爺 深度分析 政府 派錢 有咩考慮？｜#曾俊華 #施政報告 #香港經濟 #民生 #免稅 #Bowtie,2025-09-16T11:11:11Z,447421,8598.0,500.0,3057
9ntJEW059As,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,香港 家長 必看！ 奧運 金牌夢 VS 孩子 的 童年 ｜ 5歲開始 高強度訓練 可成為下一個 何詩蓓 ？｜ 兒童 運動 過量 影響 增高 ？｜ 贏在起跑線 vs 賠上童年 ？ #Bowtie #育兒,2025-09-11T11:33:35Z,12574,148.0,28.0,2061
ihzfCX_Gmr8,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,17分鐘 精華版 胡說樓市 胡國威： 買樓 ＝ 衝動消費 決定前必問自己1個問題｜買樓 vs 租樓 你點揀？ ｜老人家 租樓 可以租一世？香港樓市 負資產  跌點算好？｜ Bow登討論區,2025-09-09T11:15:05Z,48458,544.0,117.0,1056
FTvhRvyTQ5I,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,新手爸媽 必睇！ 公立醫院 vs 私家醫院 生仔 點樣揀 ？｜ 明德醫院 仁安醫院 威爾斯醫院 生仔 有咩 分別 ？｜ 政府醫院 生B 一定要 剪陰 ？ 私家醫院 分娩 價錢 ｜#Bowtie #生仔,2025-09-04T11:00:32Z,12312,177.0,35.0,1824
yo7ivUhgL-k,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,麥明詩 媽媽 揭秘 會考10A 狀元 育成計劃｜麥何小娟 一句話改變 麥明詩 命運？｜系統性育兒 4大 成功關鍵｜體驗失敗 係成長關鍵 ｜父母必看 #Bowtie保你大 #育兒圖書館 #Bowtie,2025-09-02T12:28:24Z,32284,730.0,40.0,3411
x-ixVcKNjgs,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,胡說樓市 胡國威 分析 2025 香港樓市｜Bowtie 樓奴 激辯 租租 ｜租樓 vs 買樓｜買樓 只係一個 感性決定 ？｜香港樓市 租金高企 負資產 小市民點部署？｜#Bowtie #香港樓市,2025-08-28T12:10:47Z,157797,2989.0,489.0,3083
6c9qZotQLMs,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,李根興：全世界跌 我跌埋一份 有咩問題？| 炒燶 11間舖 輸半億 投資者 急急離場 | 李根興 第X滴血 爆煲嗎？| 被鬧 騙子 老千 盛滙商舖基金 李根興 親自剖白 真相 ! | #Bowtie,2025-08-26T11:36:53Z,119137,2333.0,736.0,3214
hZaCecchhBw,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,讚 小朋友 聰明 阻礙成長？| 被讚聰明  作弊 機會大增！| 讚錯1句話 仔女 成績 即急跌！| 小朋友聽到 父母 1句話 即變壞！ 家長 做錯什麼？| #Bowtie保你大 #Bowtie #育兒,2025-08-21T11:58:29Z,21326,449.0,33.0,2028
wanNnF3Wbbo,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,公立醫院 醫療事故｜「 盲腸炎 」 女病人遭誤切 輸卵管｜ 明愛醫院 醫療事故 背後真相 ｜ 盲腸炎 闌尾炎 不同！ 發炎破裂可致命｜一症狀分清 闌尾炎 vs 腸胃炎 #Bowtie #公立醫院,2025-08-19T11:01:42Z,2375,93.0,8.0,650
nZaPSISc5sA,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,益生菌 抗病 真相 ｜ 預防 大腸癌 情緒病 濕疹 的 關鍵重點 ｜ 如何提升 免疫力 對抗 炎症 ？｜ 腸道微生態 如何影響 情緒 和 健康 ？｜ 保持 腸道健康 的 兩大原則 ｜ #Bowtie,2025-08-14T11:01:20Z,56266,264.0,8.0,591
gWEKFDyjHus,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,基孔肯雅熱 疫情 香港 確診個案 增至6宗 ｜ 基孔肯雅熱 會成為下一個 COVID 嗎 ？｜ 基孔肯雅熱 後遺症 超痛苦 食錯藥 隨時奪命 ！｜#基孔肯雅熱 #屈公病 #病毒 #疫情 #Bowtie,2025-08-12T12:48:04Z,4073,97.0,6.0,705
apkY821rsdw,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,東張西望 禿頭 個案 ： 皮膚診所 類固醇 治療 「 鬼剃頭 」卻變 禿頭 ｜ 類固醇 治療斑禿 有咩 副作用 ？｜ 遇 醫療爭議 病人如何自保？｜#鬼剃頭 #類固醇 #斑禿 #Bowtie,2025-08-07T10:29:01Z,5153,84.0,7.0,689
UNwYAfZlU_0,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,肺腺癌第四期 標靶藥 就能控制病情？ 中醫 西醫 雙料醫生 蘇子謙 解答 ｜ 33歲 柯煒林 患 肺腺癌 年輕 肺癌患者 常見嗎？｜ 久咳不癒 係 肺癌徵兆？｜ #柯煒林 #肺腺癌 #Bowtie,2025-08-05T12:25:30Z,31345,581.0,40.0,690
IWSsVsduiD8,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,日本藥妝店 必買胃藥 ｜ 胃酸倒流 胃抽筋 胃痛 食錯 胃藥 可能變 胃癌 ？｜ 日本胃藥 香港胃藥 邊隻 胃藥 最有效？｜ #胃仙U #太田胃散 #日本藥妝 #日本藥 #胃痛 #Bowtie,2025-07-31T11:56:22Z,7579,222.0,21.0,1073
GrJW07w8IMI,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,前列腺癌 第四期 有冇得醫？ 中醫 西醫 雙料醫生 蘇子謙 解答｜DJ 泰山 公開患 前列腺癌 ｜ 癌細胞 擴散 骨轉移 症狀 ｜ 中西醫結合 如何 治療癌症 ？｜前列腺癌 如何分期？｜#Bowtie,2025-07-29T12:36:35Z,82592,1279.0,51.0,927
6sSZ4CEFvwM,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,中醫 西醫 雙料醫生 蘇子謙 Podcast |  癌細胞 吃糖嗎？| 米線 熱氣過 煎牛扒？| 1款西湯 竟是平價 補身食療 ？ | 睡眠 是最好 血壓藥？西藥 都有寒熱之分 別亂吃 #Bowtie,2025-07-24T12:14:06Z,221837,6561.0,228.0,3295
MfDprwM_wH8,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,化學閹割 有用嗎？| 每日1.5宗 性罪行 再犯率 跌10倍？| 副作用 男性女乳症 ？現在還有國家會「閹割」性犯罪者？| 降低 荷爾蒙 如治療 前列腺癌 ？會否提高 患癌 風險 ？ #Bowtie,2025-07-22T11:12:18Z,2734,91.0,3.0,510
BYQCMVDGETs,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,公立醫院 醫療事故｜威爾斯醫院 開刀 生仔 割傷 膀胱 8厘米｜威院 產婦 帶尿袋半個月 面臨 尿失禁 後遺症？｜專家：3類產婦 剖腹產 屬高風險 ｜#Bowtie #公立醫院 #醫療事故,2025-07-17T11:00:30Z,4112,84.0,6.0,939
MTw_4o_EegA,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,DSE 放榜 2025 ｜ 16名 狀元 歷屆最多 ｜ 補習名師 林溢欣 拆解 5** 超級狀元 終極狀元 成功秘密 ｜ 名校 VS 普通學校 ｜#Bowtie #DSE #狀元 #YYLam,2025-07-15T12:15:55Z,272891,5948.0,248.0,4723
JoQimD-elZI,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,裁員潮 涉 年齡歧視 ？｜40歲後被 裁員 ？職場女王 Son姐 求職技巧 「4不提」｜奴性重 = 好員工？｜10大細思極恐 被炒先兆｜#Bowtie #裁員潮 #鐵飯碗,2025-07-10T11:00:39Z,281618,6372.0,362.0,3243
dc-fqJO3Dds,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,裁員潮 真相大揭秘｜咩人最易畀人炒？｜職場女王 Son姐 ：你有冇唔做奴隸嘅本錢？｜Reference Letter VS 賠償金？Son姐 教路要咁揀｜#Bowtie #裁員潮 #香港失業率,2025-07-08T11:01:13Z,189487,4495.0,293.0,2755
485qUIuzRhE,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,失智症 阿茲海默症 每3秒1人確診｜ 常挖鼻孔 肥胖 竟是 阿茲海默症 成因？｜專家解構3大治療方向 延緩腦退化｜5類人易患 早期認知障礙｜#Bowtie #阿茲海默症 #認知障礙症,2025-07-03T11:00:08Z,300499,1163.0,45.0,1094
FVmLAuGr-S8,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,醫美 牛奶針 意外致命 | 牛奶針 危險 嗎？做醫美時用過 要擔心嗎？ | 如何選擇 安全 醫美診所？ 醫美手術 最可怕係咩？ | 醫美手術 出問題 點算？邊啲 醫美程序 危險？#Bowtie #4K,2025-06-26T11:00:22Z,3723,95.0,7.0,571
Ojtfj5R42FU,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,公立醫院 爆煲 | 急症 等12小時 最後暈死殘廁 | 標靶藥 自費40萬 冇錢點算？| 私家醫院 住3日要8萬 香港 醫療困局 | 人口老化 醫護人手不足 | 自願醫保 有用嗎？ #Bowtie,2025-06-24T11:10:19Z,46374,824.0,81.0,1009
uhu_FvTZ0Ho,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,Torres 托哥 剖白：2019年被罵 心情大公開 | 百萬網紅 壓力幾大？崩潰街頭痛哭？ | 為拍片甘願冒30% 死亡風險 太太反對 都要拍？ #托哥 #TorresPit #Bowtie,2025-06-20T11:21:32Z,11712,236.0,17.0,774
LLAaPVK93i4,UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,香港 十大傑青 2025 ｜ 10優狀元 就 前途無限？ 會考10A 狀元 鄺文傑：人生點會一帆風順｜ 狀元 實揀 醫科 法律 ？｜不幸患 淋巴癌 十優狀元 抗癌 之路｜#傑青 #癌症 #Bowtie,2025-06-18T10:30:13Z,202252,4061.0,231.0,3753
