channelName,views,totalVideos,subscribers,playlist_id
MW Insurance Academe 保險為什麼,793670,1836,5370,UU7OUGIPx0HIB5HA2OSL-Zhg
Blue Insurance Hong Kong,29364224,62,578,UUXqmN9Z56cX2VPXZ-ZPnS1A
Bowtie Insurance 保泰人壽,51204434,330,79800,UUD5Lx-3KCYZzCzGF2A60STg
Adrian Lee,142649,69,2200,UUPO68WX6rtspcv-kmgK2ufQ
大佬Kirk保險日記,18889,9,360,UUOr4rh-QXaVY_ZQzTqKesiQ
王傲山MarcusWong綜合頻道,99708,218,1790,UULblmEwmgBr-UCxP9ZsbUnA
UTOPIA HK,619961,314,4170,UUxQfqaw1i39eBQG1YJDbDkw
Adriana的保險實戰攻略,251962,76,4750,UUn2mY9NLMvu7oJuLbFC-kIw
智偉保險理財Talk,2800757,426,39400,UUCjW9xzAsCSKIzDYCx8CuxA
Project Umbrella,1310132,230,20000,UU8OVLoXv7B1BdOVV44Dz3ig
UncleWill,249870,45,3150,UUuv-es1NKE9mxFU3PTv3zkg
10Life 保險比較平台,1010125,55,1020,UUz8b7EYrOF4iXFIsap30kkw
投資最容易,3303638,393,34900,UUFfbH3zDLa47d4nfotQ349Q
